idx,topic,sentiment
0,product_quality,positive
1,delivery_shipping,positive
2,delivery_shipping,positive
3,delivery_shipping,positive
4,delivery_shipping,positive
5,delivery_shipping,positive
6,product_quality,negative
7,delivery_shipping,neutral
8,product_quality,positive
9,delivery_shipping,positive
10,other,neutral
11,delivery_shipping,neutral
12,delivery_shipping,negative
13,other,positive
14,delivery_shipping,neutral
15,delivery_shipping,negative
16,delivery_shipping,neutral
17,product_quality,negative
18,product_quality,negative
19,other,neutral
20,product_quality,negative
21,product_quality,negative
22,product_quality,positive
23,delivery_shipping,negative
24,other,positive
25,delivery_shipping,positive
26,product_quality,positive
27,other,positive
28,product_quality,neutral
29,product_quality,positive
30,product_quality,negative
31,delivery_shipping,positive
32,product_quality,negative
33,product_quality,negative
34,product_quality,negative
35,product_quality,negative
36,delivery_shipping,positive
37,product_quality,neutral
38,product_quality,positive
39,product_quality,positive
40,product_quality,positive
41,delivery_shipping,negative
42,customer_service,negative
43,product_quality,negative
44,other,positive
45,delivery_shipping,negative
46,product_quality,negative
47,product_quality,positive
48,product_quality,negative
49,product_quality,positive
50,product_quality,negative
51,customer_service,positive
52,price_value,negative
53,delivery_shipping,positive
54,product_quality,positive
55,other,positive
56,other,positive
57,product_quality,negative
58,product_quality,positive
59,delivery_shipping,negative
60,other,positive
61,product_quality,negative
62,price_value,positive
63,product_quality,positive
64,delivery_shipping,neutral
65,other,positive
66,other,positive
67,delivery_shipping,negative
68,product_quality,positive
69,product_quality,positive
70,other,positive
71,product_quality,negative
72,customer_service,positive
73,product_quality,positive
74,product_quality,negative
75,other,positive
76,product_quality,positive
77,other,positive
78,product_quality,negative
79,delivery_shipping,negative
80,product_quality,positive
81,product_quality,negative
82,product_quality,positive
83,product_quality,positive
84,product_quality,negative
85,other,positive
86,product_quality,positive
87,delivery_shipping,negative
88,delivery_shipping,negative
89,product_quality,positive
90,product_quality,positive
91,product_quality,negative
92,product_quality,negative
93,delivery_shipping,negative
94,product_quality,positive
95,product_quality,negative
96,other,positive
97,delivery_shipping,positive
98,product_quality,positive
99,other,positive
100,other,positive
101,delivery_shipping,positive
102,product_quality,positive
103,other,positive
104,delivery_shipping,negative
105,product_quality,positive
106,product_quality,positive
107,delivery_shipping,negative
108,product_quality,positive
109,other,positive
110,product_quality,positive
111,product_quality,neutral
112,customer_service,neutral
113,product_quality,negative
114,delivery_shipping,negative
115,product_quality,positive
116,product_quality,positive
117,delivery_shipping,positive
118,delivery_shipping,negative
119,product_quality,neutral
120,product_quality,positive
121,product_quality,negative
122,product_quality,positive
123,other,positive
124,other,positive
125,delivery_shipping,positive
126,delivery_shipping,negative
127,other,positive
128,product_quality,negative
129,other,neutral
130,other,positive
131,product_quality,positive
132,product_quality,negative
133,product_quality,negative
134,delivery_shipping,neutral
135,delivery_shipping,negative
136,product_quality,positive
137,product_quality,positive
138,other,positive
139,product_quality,positive
140,product_quality,positive
141,product_quality,positive
142,delivery_shipping,positive
143,delivery_shipping,positive
144,delivery_shipping,negative
145,delivery_shipping,negative
146,delivery_shipping,negative
147,other,positive
148,product_quality,negative
149,customer_service,positive
150,delivery_shipping,positive
151,delivery_shipping,positive
152,other,positive
153,delivery_shipping,positive
154,delivery_shipping,positive
155,delivery_shipping,positive
156,product_quality,positive
157,delivery_shipping,positive
158,product_quality,negative
159,delivery_shipping,positive
160,delivery_shipping,negative
161,product_quality,positive
162,delivery_shipping,positive
163,other,positive
164,product_quality,negative
165,price_value,negative
166,other,positive
167,other,positive
168,delivery_shipping,positive
169,product_quality,positive
170,product_quality,positive
171,product_quality,positive
172,customer_service,positive
173,delivery_shipping,positive
174,product_quality,positive
175,product_quality,negative
176,product_quality,negative
177,delivery_shipping,positive
178,delivery_shipping,positive
179,product_quality,positive
180,delivery_shipping,positive
181,delivery_shipping,positive
182,product_quality,positive
183,delivery_shipping,positive
184,customer_service,positive
185,customer_service,negative
186,delivery_shipping,negative
187,delivery_shipping,negative
188,other,positive
189,product_quality,positive
190,product_quality,positive
191,product_quality,negative
192,delivery_shipping,negative
193,product_quality,positive
194,product_quality,positive
195,product_quality,negative
196,delivery_shipping,positive
197,delivery_shipping,negative
198,other,positive
199,delivery_shipping,positive
200,product_quality,positive
201,delivery_shipping,positive
202,product_quality,negative
203,delivery_shipping,negative
204,delivery_shipping,negative
205,customer_service,neutral
206,product_quality,positive
207,customer_service,positive
208,delivery_shipping,negative
209,price_value,neutral
210,price_value,negative
211,delivery_shipping,negative
212,delivery_shipping,positive
213,product_quality,negative
214,other,positive
215,product_quality,positive
216,product_quality,negative
217,delivery_shipping,negative
218,delivery_shipping,positive
219,delivery_shipping,positive
220,product_quality,negative
221,delivery_shipping,negative
