customer_state,gmv,orders,customers,pct_gmv
SP,5202955.05,41375,39981,38.28
RJ,1824092.67,12762,12303,13.42
MG,1585308.03,11544,11178,11.66
RS,750304.02,5432,5249,5.52
PR,683083.76,4998,4840,5.03
SC,520553.34,3612,3513,3.83
BA,511349.99,3358,3257,3.76
DF,302603.94,2125,2062,2.23
GO,294591.95,2007,1942,2.17
ES,275037.31,2025,1956,2.02
PE,262788.03,1648,1605,1.93
CE,227254.71,1327,1305,1.67
PA,178947.81,970,944,1.32
MT,156453.53,903,873,1.15
MA,119648.22,740,719,0.88
MS,116812.64,709,688,0.86
PB,115268.08,532,516,0.85
PI,86914.08,493,481,0.64
RN,83034.98,482,471,0.61
AL,80314.81,411,399,0.59
SE,58920.85,345,338,0.43
TO,49621.74,279,272,0.37
RO,46140.64,247,235,0.34
AM,22356.84,147,142,0.16
AC,15982.95,81,77,0.12
AP,13474.3,68,67,0.1
RR,7829.43,46,45,0.06
